surname,frequency,example_full_names,constituencies,years
KRISHNA,6,Krishna Swaroop Vadlamuri | Krishna Prasad Sabbathi | Krishna Velagada,"AMALAPURAM (SC), BAPATLA (SC), PARVATHIPURAM (SC), PAYAKARAOPET (SC), VICARADAB (SC)","2009, 2024"
MANDA,5,Manda Sarath Babu | Manda Krishnaiah | Manda Krishna Madiga,"GUDUR (SC), MADIRA (SC), SANTHANUTHALAPADU (SC), VEMURU (SC), WARDHANAPET (SC)","2009, 2024"
KORIVI,4,Korivi Rajini Kanth | Korivi Vinaya Kumar | Korivi Vinay Kumar,PRATHIPADU (SC),"2009, 2019, 2024"
AITHABATHULA,3,Aithabathula Anandarao | Aithabathula Subhashini | Aithabathula Anandarao,AMALAPURAM (SC),"2009, 2024"
SINGAMALA,3,Singamala Venkateshwarlu | Singamala Venkateshwarlu | Singamala Venkateswarlu,"BADVEL (SC), BADVEL (SC) : BYE ELECTION ON 30-10-2021","2009, 2019, 2024"
VENKATA,3,Venkata Chaitanya Lakkapamu | Venkata Rao Talari | Venkata Subbanna Yata,"CHINTALAPUDI (SC), KOVVUR (SC), SINGANAMALA (SC)",2024
RAMU,3,Ramu K | Ramu Varikut | M J RAMU,"GANGADHARA NELLORE (SC), SANTHANUTHALAPADU (SC), SECUNDERABAD CANTT. (SC)","2009, 2024"
RAPAKA,3,Rapaka Hareesh Kumar | Rapaka Vara Prasada Rao | Rapaka Varaprasada Rao,"AMALAPURAM (SC), GOPALAPURAM (SC), RAZOLE (SC)","2009, 2024"
KAMALA,3,Kamala Arugolanu | J. Kamala Prabhas | Kamala Raju Lingala,"BADVEL (SC), KOVVUR (SC), MADIRA (SC)","2009, 2024"
KONDETI,3,Kondeti Prabhakaraa Reddy | Kondeti Prabakara Reddy | Kondeti Sridhar,"GANNAVARAM (SC), RAZOLE (SC), WARDHANAPET (SC)","2009, 2024"
VIJAY,3,Vijay Kumar Bn | Vijay Kumar G.Srkr | Vijay Paul Kolakaluri,"SANTHANUTHALAPADU (SC), SATYAVEDU (SC), VEMURU (SC)",2024
SAKE,3,Dr. Sake Sailajanath | Sake Sreedevi | Sake Sailajanath,SINGANAMALA (SC),"2009, 2024"
ANANDA,3,Ananda Babu Nakka | Ananda Babu Srungarapati | Ananda Babu Nakka,"TADIKONDA (SC), VEMURU (SC)","2019, 2024"
VENKATESWARLU,3,Venkateswarlu Darsi | Venkateswarlu Yanamadini | Venkateswarlu Gude,"AMALAPURAM (SC), KONDAPI (SC), YERRAGONDAPALEM (SC)","2009, 2024"
PILLI,3,Pilli Baburao | Pilli Balaramudu | Pilli Chenna Kesavulu,"PAYAKARAOPET (SC), TADIKONDA (SC), YERRAGONDAPALEM(SC)","2009, 2019"
GADDAM,3,Gaddam Bala Swamy | GADDAM RAJESH | Gaddam Nagaraju,"ALAMPUR (SC), DHARMAPURI (SC), MANAKONDUR (SC)",2009
AITABATHULA,2,Aitabathula Abhimanyudu | Aitabathula Ananda Babu,AMALAPURAM (SC),2024
DEVARAPALLI,2,Devarapalli Rajiv | Devarapalli Venkata Seshagiri Rao,"AMALAPURAM (SC), KONDAPI (SC)","2009, 2024"
DASARI,2,Dasari Sudha | Dasari Sudha,"BADVEL (SC), BADVEL (SC) : BYE ELECTION ON 30-10-2021","2019, 2024"
MADDELA,2,Maddela Mallikarjuna Rao | MADDELA RAVINDAR,"BADVEL (SC), DHARMAPURI (SC)","2009, 2024"
PALLIPATTU,2,Pallipattu Gunasekhar | Pallipattu Abhinav Vishnu,"CHITTOOR (SC), GANGADHARA NELLORE (SC)",2024
RAMESH,2,Ramesh Babu Deyala | Ramesh Babu Tenali,"GANGADHARA NELLORE (SC), TADIKONDA (SC)",2024
RAMA,2,V. Rama Raju | T. V. RAMA RAO,"GANGADHARA NELLORE (SC), KOVVUR (SC)","2009, 2024"
GIDDI,2,Giddi. Satyanarayana S/O Mahalakshmi | Giddi Jnana Prakasarao,"AMALAPURAM (SC), GANNAVARAM (SC)",2024
SATYANARAYANA,2,Satyanarayana Giddi S/O China Arjanna | Satyanarayana. Giddi S/O Rama Swamy,GANNAVARAM (SC),2024
BATHULA,2,Bathula Venu | Bathula Lakshmana Rao,"GOPALAPURAM (SC), RAZOLE (SC)","2009, 2024"
SUNEEL,2,Suneel Raju Darla | M Suneel Kumar,"GUDUR (SC), PUTHALAPATTU (SC)",2024
AMBATI,2,Ambati Sivaiah | Ambati Krishna Murthy,"AMALAPURAM (SC), KODUR (SC)","2009, 2024"
KORAMUTLA,2,Koramutla Sreenivasulu | Koramutla Venkata Subbaiah,KODUR (SC),"2009, 2024"
LAKSHMI,2,Lakshmi Narasaiah Pandikalla | Lakshmi Naresh Kaaki,KODUR (SC),2024
TUMMALA,2,Tummala Suresh | Tummala Sridhar,"KODUR (SC), WARDHANAPET (SC)","2009, 2024"
DOCTOR,2,Doctor Dola Sree Bala Veeranjaneya Swamy | Doctor Goda Ramesh Kumar,"BADVEL (SC) : BYE ELECTION ON 30-10-2021, KONDAPI (SC)","2019, 2024"
AUDIMULAPU,2,Audimulapu Suresh | Audimulapu Suresh,"KONDAPI (SC), YERRAGONDAPALEM(SC)","2009, 2024"
KANAPARTHI,2,Kanaparthi Sivaramulu | Kanaparthi Sharathbabu,"KONDAPI (SC), VEMURU (SC)",2024
MAMIDI,2,Mamidi Maalyadri | Mamidi Sarvaiah,"KONDAPI (SC), NAKREKAL (SC)","2009, 2024"
MENDA,2,Menda Balakotaiah | Menda Koteswara Rao,KONDAPI (SC),"2009, 2024"
SUJATHA,2,Sujatha Vighnam | Sujatha Gangada,KONDAPI (SC),"2009, 2024"
MUPPIDI,2,Muppidi Venkateswara Rao | Muppidi Sekhar Babu,KOVVUR (SC),2024
BONTHA,2,Bontha Kishore | Bontha Praveen Das,"KOVVUR (SC), VEMURU (SC)","2009, 2024"
TANGIRALA,2,Tangirala Sowmya | Tangirala Sowmya,NANDIGAMA (SC),"2014, 2024"
