surname,caste,confidence
AADINI,Kapu,medium
AAKELLA,Brahmin,high
AAKULA,Kapu,medium
AALA,Kamma,high
AALAPARTHI,Kamma,high
AALAPATI,Kamma,medium
AALLA,Kapu,medium
AALLURI,Kamma,high
AALOKAM,Kamma,medium
AALURI,Kamma,high
AAMUDALA,Kamma,medium
AANE,Kamma,medium
AARDALA,Kapu,medium
AARDHALA,Kapu,medium
AARE,Kamma,medium
AAREPALLI,Kamma,low
AARI,Kamma,medium
AARUMALLA,Kamma,medium
AAVALA,Kapu,medium
ABBINENI,Kamma,medium
ABBURI,Kamma,high
ABBURU,Kamma,medium
ABDUL,Muslim,high
ABHINENI,Kamma,medium
ACHANTA,Kamma,medium
ACHYUTHARAMAIAH,Brahmin,high
ADABALA,Kapu,medium
ADAGADI,Kamma,medium
ADAM,Christian,medium
ADANGI,Kamma,medium
ADAPA,Kamma,high
ADAPALA,Kamma,medium
ADAVI,SC,medium
ADDA,Kapu,medium
ADDADA,Kamma,medium
ADDAGADA,Kapu,medium
ADDAGADDA,Kamma,medium
ADDAGALLA,Kamma,high
ADDAGIRI,Kamma,medium
ADDALA,Kapu,medium
ADDANGI,Kamma,medium
ADDANKI,Kamma,medium
ADDEPALLI,Kamma,medium
ADEPU,SC,medium
ADERU,Kamma,medium
ADGADDA,Kamma,medium
ADHEPALLI,Kamma,medium
ADIGOPULA,Kamma,medium
ADINEEDI,Kamma,medium
ADINENI,Kamma,low
ADINIDI,SC,medium
ADIVI,Kamma,medium
ADOKA,Kamma,medium
ADUCHUMALLI,Kamma,medium
ADUCHUMELLI,Kamma,medium
ADUCHUMILLA,Kamma,medium
ADUCHUPALLE,Kamma,medium
ADUGULA,Kapu,medium
ADURI,Kamma,medium
ADURY,Kamma,medium
ADUSUMALLI,Kamma,high
ADUSUMILLI,Kamma,high
ADUSUPALLE,Kamma,medium
AETUKURI,Kamma,medium
AGINATI,Kapu,medium
AGINIHOTRAM,Brahmin,high
AGITI,Kamma,medium
AGNIHOTRI,Brahmin,high
AGRAWAL,Other,high
AHAMAD,Muslim,high
AHMED,Muslim,high
AIENAMPUDI,Kamma,low
AIENAVOLU,Kamma,medium
AINALA,Kamma,medium
AINAMPOODI,Kamma,medium
AINAMPUDI,Kamma,medium
AINAPUDI,Kamma,medium
AINAPURI,Kamma,medium
