surname,caste,source_url,gothram,region,example_full_names
AARADHYULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AARI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AATI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ABBURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ACHANTA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADAALATU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADDANKI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADIBHATLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ADIMULAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADITHAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADIVI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADUKURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ADURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AINAMPROLU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AINAPARTI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AJJARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKELLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKHANDAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKANAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKENAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKINAPALI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKKINAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKINEPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AKKIRAJU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKUNDI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AKUNURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ALAPATTU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ALETI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ALLADI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ALURU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AMANCHERLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AMBADASU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AMBARUKHANA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AMBATIPUDI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AMENCHERLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AMRUTHAVAKKULA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANANTAVARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANDUKURI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANDUKURU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANIPEDDI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANIPEDDI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ANNAMRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANNAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANNASAMUDRAM,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ANNAVARAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANNAVARPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANUMARLAPUDI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ANUMULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ANUPINDI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
APIKETLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
APPAJOSYULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
APPALA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ARADHYULA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ARADHYULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ARJARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ARYASOMAYAJULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ATMAKURU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ATREYAPURAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ATTOTA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AVADHANULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AVANTSA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AVASARALA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AVATAPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYINAMBROLU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYINPURA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYYADEVARA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYYAGARI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYYAGARI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AYYALARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
AYYALASOMAYAJULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
AYYAVARI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BACHU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BAKARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BALABHADRAPATRUNI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BALANTHRAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BALEMARTHY,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BALIVADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BALLIJEPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BAPATLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BELLAMKONDA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BENDAPUDI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHADRIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHAGAVATULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BHAIRAVABHATLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BHAMIDI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BHARATHAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHASKARAM,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BHATTIPROLU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHAVARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHIMAVARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHOGARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHOGRAJ,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BHUPATIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BIKKAVILLI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BIRUDAVOLU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BITRAGUNTA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BODAPATI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BODAPATI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BOLLAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BOMMERLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BONDALAPATI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BONTHA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BOYINEPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BUDARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BUDDHAVARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BUDHARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BUDHIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
BULUSU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BURELA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
BURRA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHADHALAWADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHAGANTY,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHAKILAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHAKRAVADHANULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHALLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHALLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHALLAPALLY,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHAMARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHAMARTHY,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHANCHALAM,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHANDARLAPATI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHATRATHI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHATRATHI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHEBROLU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHEEDELLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHEEMALAKONDA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHEEMALAMARRI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHELLURI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHEMBOLU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
CHENNAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
CHENNUBHOTLA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
