surname,caste,source_url,gothram,region,example_full_names
BESTHA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
GANGAPUTRA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
GANGAVAR,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
GOONDLA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
JALARI,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
MOKA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
NEYYALA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
PALLI,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
PATTAPU,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
PITA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
PONNADA,Agnikula Kshatriya,AP_Election_Data_2019_2024,,Andhra Pradesh,PONNADA VENKATA SATISH KUMAR; Ponnada Venkata Satish Kumar
SANGANI,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
SINGHETI,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
SINGHOTI,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
TEPPALA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
VADABALIJA,Agnikula Kshatriya,http://agniprakashika.blogspot.com/2011/10/agnikulakshatriya-position-in-andhra.html,,Andhra Pradesh,
MATSYARASA,Bagata,AP_Election_Data_2019_2024,,Andhra Pradesh,
AANALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ACHANTA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ACHUKOLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ACHUTA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADABALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADAGARLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADAPA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADAPALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADATRA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADDAGARLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADDANKI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADDEPALLI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
ADIKAARI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AKAM,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AKASAPU,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AKKALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AKKIREDDI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AMBARIPETA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
AVALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BAIRISETTI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BALLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BALLEM,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANDARU,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANDE,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANDI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANDLA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BANDREDDI,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BAREGALA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BATHINA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
BOLLIMUNTHA,Balija,http://royalkapus.blogspot.com/2017/12/kapunaiduroyaltelagabalijanayakar.html,,Andhra Pradesh,
